,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,152820.6425758630212,154323.59412344932207,0.0951996249600277622,0.07034718284756580342
2,154042.42377783803386,4067145380374.3500977,0.09367938286636856571,-1.235314713033392896e+18
3,152198.07315116704558,156845.68848678222275,0.09808389876781953287,0.06610676145073646204
4,152836.64487828681013,154178.32542776846094,0.09662288521759798687,0.067980421855804662457
5,153049.49843100109138,157175.83352337768883,0.0885078105882503019,0.07531654330322046231
6,152569.19003755631275,36802576375493.296875,0.092307193853401914296,-9.694384530885638554e+19
7,153000.57014291454107,152837.41278654808411,0.09719248022404747278,0.077152640163266617
8,152333.03029499674449,156406.34128258939018,0.09715564992140501843,0.061029736493883990356
9,153395.26333770621568,152767.58963914771448,0.09303037696310223481,0.07444051482315072743
10,153532.86336025525816,156311.15018360677641,0.09043925473593250608,0.054135357158841324043
11,153172.95090475751203,154116.65457217386574,0.09558227939927688155,0.063961664011017216325
12,151918.97051356517477,156338.5796205419465,0.09647135977075826929,0.07828038669212378231
13,152547.69384816879756,11689991669692.5234375,0.09449270515202112808,-9.753179310515023872e+18
14,152463.25615399100934,155682.45935403433396,0.09906684329061499206,0.0716399077199471046
15,153994.63790466467617,151423.43114445937681,0.092741498106416297986,0.06643076186931817784
16,152632.98497044094256,157152.47783214299125,0.09185407318665583798,0.06259795089712050231
17,154299.10184366893372,151993.026314697403,0.08235743892596603111,0.08356634864100243032
18,152679.24993943539448,2696269585129.241211,0.09353064227077712012,-5.24011889760641344e+17
19,153474.6360056764097,155925.72294143057661,0.08654040672011986679,0.055986522742754396553
20,152890.7795201035915,153156.47813628861331,0.0959547450947575431,0.078393514525294194506
21,153093.12653430228238,154459.21008375484962,0.09654365668363840136,0.07028551041957964429
22,154052.84667831461411,151085.71071053735795,0.089879306234170175394,0.079960045971898874306
23,153289.57172634321614,157494.54234221854131,0.088315490316983047414,0.03673721627086512509
24,153015.02112720406149,157623.86883533466607,0.087419188157767724334,0.070260157148259616555
25,153024.28760501119541,746696192278.59265137,0.092765757949978544517,-4.038282498595188e+16
